VARIABLE,DESCRIPCION,TIPO,ADMITE_NULL,DOMINIO_PERMITIDO,VALORES_POSIBLES,TRATAMIENTO_LIMPIEZA,ES_DERIVADA,VARIABLES_ORIGEN,METODO_CALCULO,UTILIDAD,FUENTE,FECHA_EXTRACCION,VERSION_CONJUNTO,EJEMPLO,REGLA_VALIDACION
UBICACION_GRUPO,Distingue Ciudad Capital de otros municipios.,string,No,Ciudad Capital; Otros municipios.,Otros municipios; Ciudad Capital,Derivación documentada y validada automáticamente.,Sí,DEPARTAMENTO; MUNICIPIO; CODIGO,Derivación documentada y validada automáticamente.,"Análisis, control de calidad o metadatos",MINEDUC - Búsqueda de centros educativos autorizados,2026-07-10,2.0.0,Otros municipios,"Debe cumplir el tipo, dominio y condición de null documentados."
TIPO_UBICACION,Indica si la etiqueta territorial es Zona capital o Municipio.,string,No,Zona capital; Municipio.,Municipio; Zona capital,Derivación documentada y validada automáticamente.,Sí,DEPARTAMENTO; MUNICIPIO; CODIGO,Derivación documentada y validada automáticamente.,"Análisis, control de calidad o metadatos",MINEDUC - Búsqueda de centros educativos autorizados,2026-07-10,2.0.0,Municipio,"Debe cumplir el tipo, dominio y condición de null documentados."
ES_CIUDAD_CAPITAL,Indicador binario: 1 para Ciudad Capital y 0 para otros municipios.,Int8,No,0 = No; 1 = Sí.,0; 1,Derivación documentada y validada automáticamente.,Sí,DEPARTAMENTO; MUNICIPIO; CODIGO,Derivación documentada y validada automáticamente.,"Análisis, control de calidad o metadatos",MINEDUC - Búsqueda de centros educativos autorizados,2026-07-10,2.0.0,0,"Debe cumplir el tipo, dominio y condición de null documentados."
ZONA_CAPITAL_COD,Número de zona de Ciudad Capital; null fuera de la capital.,Int8,Sí,Catálogo documentado; identificador nominal salvo código territorial.,1; 10; 11; 12; 13; 14; 15; 16; 17; 18; 19; 2; 21; 24; 25; 3; 4; 5; 6; 7; 8; 9,Codificación nominal o territorial documentada en catálogo.,Sí,DEPARTAMENTO; MUNICIPIO; CODIGO,Codificación nominal o territorial documentada en catálogo.,"Análisis, control de calidad o metadatos",MINEDUC - Búsqueda de centros educativos autorizados,2026-07-10,2.0.0,1,"Debe cumplir el tipo, dominio y condición de null documentados."
MUNICIPIO_COD_FUENTE,Prefijo departamento-municipio del CODIGO; null para zonas capitalinas.,string,Sí,Véase descripción y catálogo cuando corresponda.,Texto libre o catálogo amplio (334 valores observados),Derivación documentada y validada automáticamente.,Sí,MUNICIPIO; CODIGO; DEPARTAMENTO,Derivación documentada y validada automáticamente.,"Análisis, control de calidad o metadatos",MINEDUC - Búsqueda de centros educativos autorizados,2026-07-10,2.0.0,16-01,"Debe cumplir el tipo, dominio y condición de null documentados."
ESTABLECIMIENTO_ORIGINAL,Valor original: Nombre registrado del establecimiento educativo.,string,No,Texto publicado por MINEDUC; se conserva sin sobrescritura.,"Texto libre o catálogo amplio (6,170 valores observados)",Copia sin sobrescritura del campo crudo.,No (campo preservado),ESTABLECIMIENTO,Conservación textual,Trazabilidad,MINEDUC - Búsqueda de centros educativos autorizados,2026-07-10,2.0.0,INSTITUTO MIXTO NOCTURNO FRANCISCO MARROQUIN,"Debe cumplir el tipo, dominio y condición de null documentados."
ESTABLECIMIENTO_LIMPIO,Nombre de presentación con ortografía conservadora y trazable.,string,Sí,Véase descripción y catálogo cuando corresponda.,"Texto libre o catálogo amplio (4,970 valores observados)",Normalización y validación según el plan de la variable de origen.,Sí,ESTABLECIMIENTO,Normalización y validación según el plan de la variable de origen.,"Análisis, control de calidad o metadatos",MINEDUC - Búsqueda de centros educativos autorizados,2026-07-10,2.0.0,Instituto Mixto Nocturno Francisco Marroquín,"Debe cumplir el tipo, dominio y condición de null documentados."
ESTABLECIMIENTO_CLAVE_COMPARACION,Clave sin tildes ni puntuación usada solo para detectar candidatos.,string,Sí,Véase descripción y catálogo cuando corresponda.,"Texto libre o catálogo amplio (4,970 valores observados)",Derivación documentada y validada automáticamente.,Sí,ESTABLECIMIENTO,Derivación documentada y validada automáticamente.,"Análisis, control de calidad o metadatos",MINEDUC - Búsqueda de centros educativos autorizados,2026-07-10,2.0.0,INSTITUTO MIXTO NOCTURNO FRANCISCO MARROQUIN,"Debe cumplir el tipo, dominio y condición de null documentados."
DIRECCION_ORIGINAL,Valor original: Dirección textual publicada.,string,No,Texto publicado por MINEDUC; se conserva sin sobrescritura.,"Texto libre o catálogo amplio (7,260 valores observados)",Copia sin sobrescritura del campo crudo.,No (campo preservado),DIRECCION,Conservación textual,Trazabilidad,MINEDUC - Búsqueda de centros educativos autorizados,2026-07-10,2.0.0,6A. AVENIDA 1-15 ZONA 4,"Debe cumplir el tipo, dominio y condición de null documentados."
DIRECCION_LIMPIA,Dirección de presentación; null cuando no existe contenido utilizable.,string,Sí,Véase descripción y catálogo cuando corresponda.,"Texto libre o catálogo amplio (6,626 valores observados)",Normalización y validación según el plan de la variable de origen.,Sí,DIRECCION,Normalización y validación según el plan de la variable de origen.,"Análisis, control de calidad o metadatos",MINEDUC - Búsqueda de centros educativos autorizados,2026-07-10,2.0.0,"6A. Avenida 1-15, Zona 4","Debe cumplir el tipo, dominio y condición de null documentados."
TELEFONO_ORIGINAL,Valor original: Uno o varios contactos telefónicos publicados.,string,No,Texto publicado por MINEDUC; se conserva sin sobrescritura.,"Texto libre o catálogo amplio (6,429 valores observados)",Copia sin sobrescritura del campo crudo.,No (campo preservado),TELEFONO,Conservación textual,Trazabilidad,MINEDUC - Búsqueda de centros educativos autorizados,2026-07-10,2.0.0,,"Debe cumplir el tipo, dominio y condición de null documentados."
TELEFONO_LIMPIO,Texto telefónico normalizado; conserva formatos históricos no interpretables.,string,Sí,Véase descripción y catálogo cuando corresponda.,"Texto libre o catálogo amplio (6,369 valores observados)",Normalización y validación según el plan de la variable de origen.,Sí,TELEFONO,Normalización y validación según el plan de la variable de origen.,"Análisis, control de calidad o metadatos",MINEDUC - Búsqueda de centros educativos autorizados,2026-07-10,2.0.0,7794-5104,"Debe cumplir el tipo, dominio y condición de null documentados."
TELEFONO_PRINCIPAL,Primer candidato de ocho dígitos con formato ####-####.,string,Sí,Véase descripción y catálogo cuando corresponda.,"Texto libre o catálogo amplio (6,337 valores observados)",Derivación documentada y validada automáticamente.,Sí,TELEFONO,Derivación documentada y validada automáticamente.,"Análisis, control de calidad o metadatos",MINEDUC - Búsqueda de centros educativos autorizados,2026-07-10,2.0.0,7794-5104,"Debe cumplir el tipo, dominio y condición de null documentados."
TELEFONO_ESTADO,Estado de interpretación del teléfono.,string,No,Véase descripción y catálogo cuando corresponda.,Vacío; Válido único; Formato no estándar; Válidos múltiples,"Clasificación derivada para distinguir valor válido, ausencia o formato no estándar.",Sí,TELEFONO,"Clasificación derivada para distinguir valor válido, ausencia o formato no estándar.","Análisis, control de calidad o metadatos",MINEDUC - Búsqueda de centros educativos autorizados,2026-07-10,2.0.0,Vacío,"Debe cumplir el tipo, dominio y condición de null documentados."
SUPERVISOR_ORIGINAL,Valor original: Nombre de la persona supervisora publicada.,string,No,Texto publicado por MINEDUC; se conserva sin sobrescritura.,"Texto libre o catálogo amplio (1,268 valores observados)",Copia sin sobrescritura del campo crudo.,No (campo preservado),SUPERVISOR,Conservación textual,Trazabilidad,MINEDUC - Búsqueda de centros educativos autorizados,2026-07-10,2.0.0,JORGE EDUARDO PAQUE LAZARO,"Debe cumplir el tipo, dominio y condición de null documentados."
SUPERVISOR_LIMPIO,Nombre de supervisión de presentación o null.,string,Sí,Véase descripción y catálogo cuando corresponda.,"Texto libre o catálogo amplio (1,085 valores observados)",Normalización y validación según el plan de la variable de origen.,Sí,SUPERVISOR,Normalización y validación según el plan de la variable de origen.,"Análisis, control de calidad o metadatos",MINEDUC - Búsqueda de centros educativos autorizados,2026-07-10,2.0.0,Jorge Eduardo Paque Lázaro,"Debe cumplir el tipo, dominio y condición de null documentados."
DIRECTOR_ORIGINAL,Valor original: Nombre de la persona directora publicada.,string,No,Texto publicado por MINEDUC; se conserva sin sobrescritura.,"Texto libre o catálogo amplio (5,397 valores observados)",Copia sin sobrescritura del campo crudo.,No (campo preservado),DIRECTOR,Conservación textual,Trazabilidad,MINEDUC - Búsqueda de centros educativos autorizados,2026-07-10,2.0.0,--,"Debe cumplir el tipo, dominio y condición de null documentados."
DIRECTOR_LIMPIO,Nombre de dirección de presentación o null.,string,Sí,Véase descripción y catálogo cuando corresponda.,"Texto libre o catálogo amplio (5,218 valores observados)",Normalización y validación según el plan de la variable de origen.,Sí,DIRECTOR,Normalización y validación según el plan de la variable de origen.,"Análisis, control de calidad o metadatos",MINEDUC - Búsqueda de centros educativos autorizados,2026-07-10,2.0.0,Gustavo Adolfo Sierra Pop,"Debe cumplir el tipo, dominio y condición de null documentados."
DIRECTOR_ESTADO,"Informado, Vacío o Marcador.",string,No,Véase descripción y catálogo cuando corresponda.,Marcador; Informado; Vacío,"Clasificación derivada para distinguir valor válido, ausencia o formato no estándar.",Sí,DIRECTOR,"Clasificación derivada para distinguir valor válido, ausencia o formato no estándar.","Análisis, control de calidad o metadatos",MINEDUC - Búsqueda de centros educativos autorizados,2026-07-10,2.0.0,Marcador,"Debe cumplir el tipo, dominio y condición de null documentados."
NIVEL_ORIGINAL,Valor original: Nivel educativo consultado.,string,No,Texto publicado por MINEDUC; se conserva sin sobrescritura.,DIVERSIFICADO,Copia sin sobrescritura del campo crudo.,No (campo preservado),NIVEL,Conservación textual,Trazabilidad,MINEDUC - Búsqueda de centros educativos autorizados,2026-07-10,2.0.0,DIVERSIFICADO,"Debe cumplir el tipo, dominio y condición de null documentados."
NIVEL_LIMPIO,Nivel Diversificado con etiqueta legible.,string,No,Véase descripción y catálogo cuando corresponda.,Diversificado,Normalización y validación según el plan de la variable de origen.,Sí,NIVEL,Normalización y validación según el plan de la variable de origen.,"Análisis, control de calidad o metadatos",MINEDUC - Búsqueda de centros educativos autorizados,2026-07-10,2.0.0,Diversificado,"Debe cumplir el tipo, dominio y condición de null documentados."
SECTOR_ORIGINAL,Valor original: Sector administrativo del servicio.,string,No,Texto publicado por MINEDUC; se conserva sin sobrescritura.,PRIVADO; OFICIAL; MUNICIPAL; COOPERATIVA,Copia sin sobrescritura del campo crudo.,No (campo preservado),SECTOR,Conservación textual,Trazabilidad,MINEDUC - Búsqueda de centros educativos autorizados,2026-07-10,2.0.0,PRIVADO,"Debe cumplir el tipo, dominio y condición de null documentados."
SECTOR_LIMPIO,Etiqueta de sector legible.,string,No,Véase descripción y catálogo cuando corresponda.,Privado; Oficial; Municipal; Cooperativa,Normalización y validación según el plan de la variable de origen.,Sí,SECTOR,Normalización y validación según el plan de la variable de origen.,"Análisis, control de calidad o metadatos",MINEDUC - Búsqueda de centros educativos autorizados,2026-07-10,2.0.0,Privado,"Debe cumplir el tipo, dominio y condición de null documentados."
SECTOR_COD,Código nominal del sector.,Int8,No,Catálogo documentado; identificador nominal salvo código territorial.,1; 2; 4; 3,Codificación nominal o territorial documentada en catálogo.,Sí,SECTOR,Codificación nominal o territorial documentada en catálogo.,"Análisis, control de calidad o metadatos",MINEDUC - Búsqueda de centros educativos autorizados,2026-07-10,2.0.0,1,"Debe cumplir el tipo, dominio y condición de null documentados."
STATUS_ORIGINAL,Valor original: Estado administrativo del servicio.,string,No,Texto publicado por MINEDUC; se conserva sin sobrescritura.,CERRADA DEFINITIVAMENTE; ABIERTA; CERRADA TEMPORALMENTE; TEMPORAL NOMBRAMIENTO; TEMPORAL TITULOS,Copia sin sobrescritura del campo crudo.,No (campo preservado),STATUS,Conservación textual,Trazabilidad,MINEDUC - Búsqueda de centros educativos autorizados,2026-07-10,2.0.0,CERRADA DEFINITIVAMENTE,"Debe cumplir el tipo, dominio y condición de null documentados."
STATUS_LIMPIO,Estado administrativo con etiqueta legible.,string,No,Véase descripción y catálogo cuando corresponda.,Cerrada definitivamente; Abierta; Cerrada temporalmente; Temporal por nombramiento; Temporal por títulos,Normalización y validación según el plan de la variable de origen.,Sí,STATUS,Normalización y validación según el plan de la variable de origen.,"Análisis, control de calidad o metadatos",MINEDUC - Búsqueda de centros educativos autorizados,2026-07-10,2.0.0,Cerrada definitivamente,"Debe cumplir el tipo, dominio y condición de null documentados."
STATUS_COD,Código nominal del estado.,Int8,No,Catálogo documentado; identificador nominal salvo código territorial.,3; 1; 2; 5; 4,Codificación nominal o territorial documentada en catálogo.,Sí,STATUS,Codificación nominal o territorial documentada en catálogo.,"Análisis, control de calidad o metadatos",MINEDUC - Búsqueda de centros educativos autorizados,2026-07-10,2.0.0,3,"Debe cumplir el tipo, dominio y condición de null documentados."
MODALIDAD_ORIGINAL,Valor original: Modalidad lingüística.,string,No,Texto publicado por MINEDUC; se conserva sin sobrescritura.,MONOLINGUE; BILINGUE,Copia sin sobrescritura del campo crudo.,No (campo preservado),MODALIDAD,Conservación textual,Trazabilidad,MINEDUC - Búsqueda de centros educativos autorizados,2026-07-10,2.0.0,MONOLINGUE,"Debe cumplir el tipo, dominio y condición de null documentados."
MODALIDAD_LIMPIA,Modalidad con ortografía corregida.,string,No,Véase descripción y catálogo cuando corresponda.,Monolingüe; Bilingüe,Normalización y validación según el plan de la variable de origen.,Sí,MODALIDAD,Normalización y validación según el plan de la variable de origen.,"Análisis, control de calidad o metadatos",MINEDUC - Búsqueda de centros educativos autorizados,2026-07-10,2.0.0,Monolingüe,"Debe cumplir el tipo, dominio y condición de null documentados."
MODALIDAD_COD,Código nominal de modalidad.,Int8,No,Catálogo documentado; identificador nominal salvo código territorial.,1; 2,Codificación nominal o territorial documentada en catálogo.,Sí,MODALIDAD,Codificación nominal o territorial documentada en catálogo.,"Análisis, control de calidad o metadatos",MINEDUC - Búsqueda de centros educativos autorizados,2026-07-10,2.0.0,1,"Debe cumplir el tipo, dominio y condición de null documentados."
AREA_ORIGINAL,Valor original: Área territorial urbana o rural.,string,No,Texto publicado por MINEDUC; se conserva sin sobrescritura.,URBANA; RURAL; SIN ESPECIFICAR,Copia sin sobrescritura del campo crudo.,No (campo preservado),AREA,Conservación textual,Trazabilidad,MINEDUC - Búsqueda de centros educativos autorizados,2026-07-10,2.0.0,URBANA,"Debe cumplir el tipo, dominio y condición de null documentados."
AREA_LIMPIA,Urbana o Rural; null para SIN ESPECIFICAR.,string,Sí,Véase descripción y catálogo cuando corresponda.,Urbana; Rural,Normalización y validación según el plan de la variable de origen.,Sí,AREA,Normalización y validación según el plan de la variable de origen.,"Análisis, control de calidad o metadatos",MINEDUC - Búsqueda de centros educativos autorizados,2026-07-10,2.0.0,Urbana,"Debe cumplir el tipo, dominio y condición de null documentados."
AREA_COD,Código nominal del área.,Int8,Sí,Catálogo documentado; identificador nominal salvo código territorial.,1; 2,Codificación nominal o territorial documentada en catálogo.,Sí,AREA,Codificación nominal o territorial documentada en catálogo.,"Análisis, control de calidad o metadatos",MINEDUC - Búsqueda de centros educativos autorizados,2026-07-10,2.0.0,1,"Debe cumplir el tipo, dominio y condición de null documentados."
AREA_INFORMADA,Indicador binario de área informada.,Int8,No,0 = No; 1 = Sí.,1; 0,Derivación documentada y validada automáticamente.,Sí,AREA,Derivación documentada y validada automáticamente.,"Análisis, control de calidad o metadatos",MINEDUC - Búsqueda de centros educativos autorizados,2026-07-10,2.0.0,1,"Debe cumplir el tipo, dominio y condición de null documentados."
JORNADA_ORIGINAL,Valor original: Jornada autorizada.,string,No,Texto publicado por MINEDUC; se conserva sin sobrescritura.,NOCTURNA; MATUTINA; VESPERTINA; DOBLE; SIN JORNADA; INTERMEDIA,Copia sin sobrescritura del campo crudo.,No (campo preservado),JORNADA,Conservación textual,Trazabilidad,MINEDUC - Búsqueda de centros educativos autorizados,2026-07-10,2.0.0,NOCTURNA,"Debe cumplir el tipo, dominio y condición de null documentados."
JORNADA_LIMPIA,Jornada real; null para SIN JORNADA.,string,Sí,Véase descripción y catálogo cuando corresponda.,Nocturna; Matutina; Vespertina; Doble; Intermedia,Normalización y validación según el plan de la variable de origen.,Sí,JORNADA,Normalización y validación según el plan de la variable de origen.,"Análisis, control de calidad o metadatos",MINEDUC - Búsqueda de centros educativos autorizados,2026-07-10,2.0.0,Nocturna,"Debe cumplir el tipo, dominio y condición de null documentados."
JORNADA_COD,Código nominal de jornada real.,Int8,Sí,Catálogo documentado; identificador nominal salvo código territorial.,3; 1; 2; 4; 5,Codificación nominal o territorial documentada en catálogo.,Sí,JORNADA,Codificación nominal o territorial documentada en catálogo.,"Análisis, control de calidad o metadatos",MINEDUC - Búsqueda de centros educativos autorizados,2026-07-10,2.0.0,3,"Debe cumplir el tipo, dominio y condición de null documentados."
JORNADA_INFORMADA,Indicador binario de jornada informada.,Int8,No,0 = No; 1 = Sí.,1; 0,Derivación documentada y validada automáticamente.,Sí,JORNADA,Derivación documentada y validada automáticamente.,"Análisis, control de calidad o metadatos",MINEDUC - Búsqueda de centros educativos autorizados,2026-07-10,2.0.0,1,"Debe cumplir el tipo, dominio y condición de null documentados."
PLAN_ORIGINAL,Valor original: Plan o modalidad temporal de atención.,string,No,Texto publicado por MINEDUC; se conserva sin sobrescritura.,DIARIO(REGULAR); FIN DE SEMANA; A DISTANCIA; SEMIPRESENCIAL; VIRTUAL A DISTANCIA; SEMIPRESENCIAL (FIN DE SEMANA); SEMIPRESENCIAL (UN DÍA A LA SEMANA); SABATINO; SEMIPRESENCIAL (DOS DÍAS A LA SEMANA); DOMINICAL; MIXTO; INTERCALADO; IRREGULAR,Copia sin sobrescritura del campo crudo.,No (campo preservado),PLAN,Conservación textual,Trazabilidad,MINEDUC - Búsqueda de centros educativos autorizados,2026-07-10,2.0.0,DIARIO(REGULAR),"Debe cumplir el tipo, dominio y condición de null documentados."
PLAN_LIMPIO,Plan con presentación normalizada.,string,No,Véase descripción y catálogo cuando corresponda.,Diario (regular); Fin de Semana; A Distancia; Semipresencial; Virtual a Distancia; Semipresencial (Fin de Semana); Semipresencial (Un Día a la Semana); Sabatino; Semipresencial (Dos Días a la Semana); Dominical; Mixto; Intercalado; Irregular,Normalización y validación según el plan de la variable de origen.,Sí,PLAN,Normalización y validación según el plan de la variable de origen.,"Análisis, control de calidad o metadatos",MINEDUC - Búsqueda de centros educativos autorizados,2026-07-10,2.0.0,Diario (regular),"Debe cumplir el tipo, dominio y condición de null documentados."
PLAN_COD,Código nominal del plan.,Int8,No,Catálogo documentado; identificador nominal salvo código territorial.,1; 2; 5; 6; 8; 3; 4; 9; 7; 10; 11; 13; 12,Codificación nominal o territorial documentada en catálogo.,Sí,PLAN,Codificación nominal o territorial documentada en catálogo.,"Análisis, control de calidad o metadatos",MINEDUC - Búsqueda de centros educativos autorizados,2026-07-10,2.0.0,1,"Debe cumplir el tipo, dominio y condición de null documentados."
DEPARTAMENTAL_ORIGINAL,Valor original: Dirección departamental responsable.,string,No,Texto publicado por MINEDUC; se conserva sin sobrescritura.,Texto libre o catálogo amplio (26 valores observados),Copia sin sobrescritura del campo crudo.,No (campo preservado),DEPARTAMENTAL,Conservación textual,Trazabilidad,MINEDUC - Búsqueda de centros educativos autorizados,2026-07-10,2.0.0,ALTA VERAPAZ,"Debe cumplir el tipo, dominio y condición de null documentados."
DEPARTAMENTAL_LIMPIO,Dirección departamental con presentación ortográfica.,string,No,Véase descripción y catálogo cuando corresponda.,Texto libre o catálogo amplio (26 valores observados),Normalización y validación según el plan de la variable de origen.,Sí,DEPARTAMENTAL,Normalización y validación según el plan de la variable de origen.,"Análisis, control de calidad o metadatos",MINEDUC - Búsqueda de centros educativos autorizados,2026-07-10,2.0.0,Alta Verapaz,"Debe cumplir el tipo, dominio y condición de null documentados."
DEPARTAMENTAL_COD,Código nominal de dirección departamental.,Int8,No,Catálogo documentado; identificador nominal salvo código territorial.,Texto libre o catálogo amplio (26 valores observados),Codificación nominal o territorial documentada en catálogo.,Sí,DEPARTAMENTAL,Codificación nominal o territorial documentada en catálogo.,"Análisis, control de calidad o metadatos",MINEDUC - Búsqueda de centros educativos autorizados,2026-07-10,2.0.0,1,"Debe cumplir el tipo, dominio y condición de null documentados."
FUENTE,Nombre de la fuente administrativa.,string,No,Véase descripción y catálogo cuando corresponda.,MINEDUC - Búsqueda de centros educativos autorizados,Asignación constante y versionada para trazabilidad.,Sí,Metadato del proceso,Asignación constante y versionada para trazabilidad.,"Análisis, control de calidad o metadatos",MINEDUC - Búsqueda de centros educativos autorizados,2026-07-10,2.0.0,MINEDUC - Búsqueda de centros educativos autorizados,"Debe cumplir el tipo, dominio y condición de null documentados."
FECHA_PROCESAMIENTO,Fecha reproducible de esta versión final.,string,No,Véase descripción y catálogo cuando corresponda.,2026-07-17,Asignación constante y versionada para trazabilidad.,Sí,Metadato del proceso,Asignación constante y versionada para trazabilidad.,"Análisis, control de calidad o metadatos",MINEDUC - Búsqueda de centros educativos autorizados,2026-07-10,2.0.0,2026-07-17,"Debe cumplir el tipo, dominio y condición de null documentados."
FUENTE_URL,URL del buscador oficial usado como fuente.,string,No,Véase descripción y catálogo cuando corresponda.,http://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,Asignación constante y versionada para trazabilidad.,Sí,Metadato del proceso,Asignación constante y versionada para trazabilidad.,"Análisis, control de calidad o metadatos",MINEDUC - Búsqueda de centros educativos autorizados,2026-07-10,2.0.0,http://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,"Debe cumplir el tipo, dominio y condición de null documentados."
FECHA_EXTRACCION,Fecha documentada del snapshot crudo preservado.,string,No,Véase descripción y catálogo cuando corresponda.,2026-07-10,Asignación constante y versionada para trazabilidad.,Sí,Metadato del proceso,Asignación constante y versionada para trazabilidad.,"Análisis, control de calidad o metadatos",MINEDUC - Búsqueda de centros educativos autorizados,2026-07-10,2.0.0,2026-07-10,"Debe cumplir el tipo, dominio y condición de null documentados."
